,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
A1BG,16,8,3,4,26,15,18,17,16,9,9,11,36,25,18,15
A1BG-AS1,2,2,1,2,0,5,5,2,8,12,4,8,9,10,10,5
A1CF,1,0,2,1,0,2,1,2,12,11,9,8,20,8,6,7
A2M,4,1,4,5,3,14,31,33,2,68,126,103,2,52,142,119
A2M-AS1,5,9,4,5,14,12,20,17,31,45,26,25,24,18,30,20
A2ML1,0,0,2,0,0,3,0,1,6,3,2,11,1,2,6,6
A2MP1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,2,2,2,1,3,2,2,2
A4GALT,536,436,378,352,1031,1393,1365,1126,939,1043,982,1123,626,1334,1493,909
A4GNT,0,1,1,0,2,6,3,3,2,1,2,1,3,1,2,7
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,317,266,200,201,571,693,688,566,1333,1007,989,933,833,897,807,898
AACS,220,145,172,160,381,433,593,487,1206,1247,1776,1647,731,1151,1422,1527
AACSP1,0,0,0,0,0,0,1,1,2,0,4,1,16,11,10,2
AADAC,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,1,1,1,0,0,2,1,1,1,3,0
AADACL3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
AADAT,34,55,42,57,50,92,90,68,166,228,281,251,103,257,262,197
AAED1,53,45,41,25,152,121,120,114,350,329,311,220,213,329,294,199
AAGAB,212,238,235,194,487,660,756,622,1557,1786,2231,2015,682,2046,2096,1837
AAK1,222,241,257,234,463,646,736,657,1570,2150,2653,2757,1216,1897,2322,2584
AAMDC,33,24,22,33,37,49,70,57,283,160,205,211,210,141,179,189
AAMP,405,414,386,356,906,1324,1250,1084,2574,2499,2705,2551,1594,2947,2847,2559
AANAT,1,1,0,0,0,3,0,2,4,3,3,4,12,3,1,4
AAR2,197,170,137,148,481,513,542,424,816,812,1031,935,571,919,1067,838
AARD,0,1,1,2,4,0,6,3,17,9,10,9,14,7,3,10
AARS,1347,656,540,490,4044,1877,2041,1534,4637,4082,5147,4425,3856,3740,4863,4182
AARS2,113,119,103,75,245,403,348,248,662,568,675,681,453,610,673,654
AARSD1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
AASDH,54,56,57,51,120,168,144,142,332,322,455,458,311,378,487,407
AASDHPPT,216,249,193,214,489,603,655,553,1242,1353,1757,1485,664,1322,1485,1243
AASS,73,51,50,42,134,116,182,151,558,510,663,553,741,470,630,541
AATF,323,217,246,231,704,736,720,614,1868,1250,1308,1334,913,1234,1238,1384
AATK,6,4,4,3,14,6,9,10,3,8,6,15,9,11,12,2
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
ABAT,14,35,38,30,34,88,131,97,79,156,271,321,87,144,216,210
ABCA1,525,425,453,406,955,1059,1203,752,2188,2256,1967,830,1646,4852,2710,907
ABCA10,1,5,3,2,1,5,5,2,20,42,55,52,17,30,38,21
ABCA11P,12,11,9,10,31,50,43,48,89,120,135,123,83,131,155,150
ABCA12,13,85,74,68,41,235,243,225,88,372,620,716,40,550,680,939
ABCA13,5,31,29,32,9,23,34,20,37,77,102,123,38,156,251,238
ABCA17P,0,0,0,0,1,0,5,1,5,2,8,2,4,5,0,0
ABCA2,384,477,451,466,664,1281,1369,1044,694,1958,1729,2003,984,2781,2445,1701
ABCA3,523,382,397,448,1270,1187,1284,1200,1715,2158,2363,2734,979,2185,2298,1671
ABCA4,6,15,12,16,10,46,40,36,12,60,66,63,47,100,127,84
ABCA5,15,25,19,34,50,68,96,84,169,353,463,415,215,303,382,338
ABCA6,0,3,8,2,0,8,12,24,0,18,16,32,6,41,48,16
ABCA7,89,169,154,154,139,435,497,471,246,384,457,695,254,767,747,1014
ABCA8,0,0,1,0,0,0,0,2,5,2,2,4,3,5,3,2
ABCA9,2,2,2,5,5,11,14,6,39,31,29,38,27,35,38,41
ABCB1,52,77,93,107,126,212,301,301,335,373,688,849,208,374,652,359
ABCB10,57,55,52,57,114,151,163,151,624,655,698,542,268,583,594,516
ABCB11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCB4,35,56,28,27,61,84,61,38,111,132,151,93,218,404,274,66
ABCB5,3,3,4,6,8,11,11,9,27,32,50,41,42,29,27,32
ABCB6,91,94,82,76,132,282,254,167,272,482,451,428,256,603,611,370
ABCB7,154,109,92,64,321,270,236,200,536,573,552,501,374,627,534,437
ABCB8,167,168,181,198,357,562,626,570,1031,781,853,1023,500,814,898,861
ABCB9,39,45,32,34,79,80,90,82,130,116,125,150,72,143,178,181
ABCC1,512,325,313,291,1100,998,1028,1003,2070,1917,2210,2354,1031,2029,2098,2613
ABCC10,86,150,118,125,219,425,424,335,461,628,769,886,321,706,722,910
ABCC11,0,0,0,1,0,0,3,4,1,3,1,1,0,4,4,1
ABCC12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0
ABCC13,0,1,0,0,0,1,0,0,2,1,1,0,1,0,1,0
ABCC2,38,52,70,75,125,180,352,273,269,252,281,397,410,339,227,74
ABCC3,3243,1253,1282,1119,5564,3213,3218,2493,3633,7110,5410,5365,9028,8710,6016,4243
ABCC4,950,796,943,932,2047,2652,3180,2957,2530,5433,6161,6279,1507,6092,5370,5045
ABCC5,277,301,313,295,631,938,1116,1101,1415,2086,3035,3874,1611,2037,2746,3192
ABCC5-AS1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
ABCC6,14,33,35,39,36,55,79,82,70,207,207,249,102,179,122,72
ABCC6P1,10,13,8,8,18,20,21,14,11,17,37,35,12,10,4,8
ABCC6P2,2,1,3,3,10,9,6,7,6,17,13,23,11,21,13,9
ABCC8,0,0,0,1,0,1,2,2,0,0,0,0,3,4,2,1
ABCC9,38,42,54,36,113,126,131,119,528,521,612,632,717,506,569,562
ABCD1,168,152,159,159,349,461,511,422,229,320,322,313,181,454,387,288
ABCD2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
ABCD3,210,252,285,212,442,684,693,597,1470,1614,1931,1885,781,1669,1771,1502
ABCD4,210,170,204,198,531,583,596,521,949,1131,1271,1316,985,1318,1469,1322
ABCE1,455,346,313,264,1138,971,944,808,3523,1975,2341,2016,1848,2031,2099,2230
ABCF1,459,390,382,362,1050,1238,1326,1237,2674,2176,2608,2387,1705,2421,2591,2645
ABCF2,437,415,387,327,927,1099,1150,987,2186,1825,2286,2060,1256,1921,2172,2073
ABCF3,188,213,195,195,394,632,655,583,839,1093,1385,1365,778,1292,1388,1296
ABCG1,5,51,90,81,28,177,245,169,68,154,122,35,60,341,205,64
ABCG2,14,3,5,2,18,16,17,5,27,41,33,25,5,14,5,14
ABCG4,1,1,0,0,2,2,0,2,6,1,4,5,2,4,2,4
ABCG5,0,1,1,0,0,1,1,0,1,0,3,1,2,0,3,1
ABCG8,0,0,0,0,1,1,0,0,0,3,3,0,1,3,0,1
ABHD1,3,1,0,0,2,2,3,2,5,1,3,0,1,4,3,1
ABHD10,76,106,77,77,199,275,269,237,635,441,548,566,333,423,490,461
ABHD11,256,428,341,327,779,1538,1670,1446,1022,2586,3056,3077,1008,2441,2581,2618
ABHD12,335,300,270,301,838,1012,1058,926,1300,1304,1363,1323,942,1497,1368,1236
ABHD12B,0,0,0,0,5,0,3,1,11,4,6,3,6,2,3,5
ABHD13,86,108,61,72,216,257,281,227,640,677,778,653,578,768,770,613
ABHD14A,49,73,55,64,104,191,172,185,77,215,191,223,65,224,202,128
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,671,495,405,357,1667,1348,1231,986,1939,2533,1996,1751,1428,2333,1786,1209
ABHD15,108,155,122,113,227,401,439,397,421,512,613,651,214,605,630,580
ABHD16A,202,233,241,208,383,773,773,646,656,979,1210,1254,498,1351,1400,1095
ABHD16B,21,48,32,30,46,136,129,123,48,61,47,65,47,120,103,77
ABHD17A,394,350,357,288,804,1139,951,869,470,360,307,340,276,635,566,405
ABHD17B,70,84,76,79,144,301,257,229,449,577,777,600,276,677,690,477
ABHD17C,69,67,57,61,191,264,205,159,309,369,415,385,202,435,363,334
ABHD2,500,320,335,325,923,1089,1183,1012,3108,3513,4270,3850,1095,4061,4320,4096
ABHD3,31,46,36,34,132,220,285,250,622,594,905,1135,505,500,655,784
ABHD4,314,273,233,239,819,997,1071,1033,1064,1981,2265,2041,557,1285,1334,1500
ABHD5,200,162,139,123,469,516,525,362,1119,1011,1290,1164,751,1236,1420,980
ABHD6,62,72,75,66,123,191,173,157,243,196,262,354,127,197,280,257
ABHD8,180,123,113,104,357,382,331,289,210,180,161,186,153,270,226,203
ABI1,391,382,328,326,905,1229,1164,1064,1779,2210,2489,2344,1267,2280,2399,2301
ABI2,351,289,243,233,779,788,773,610,2023,2065,2050,1972,1802,2056,2046,1412
ABI3,1,0,1,0,37,17,5,4,122,14,11,3,109,54,20,10
ABI3BP,253,292,217,156,268,494,345,201,99,560,332,164,384,1983,1003,128
ABL1,1061,761,787,731,2026,2336,2408,2090,3290,3514,3896,3537,1645,3951,4242,3029
ABL2,210,103,135,90,545,343,423,322,2765,1625,2055,1522,3522,1590,2037,1886
ABLIM1,729,806,766,812,1463,2450,2439,1985,3076,8349,8190,6447,2262,9012,7941,5578
ABLIM2,0,3,1,2,2,9,9,8,10,10,21,22,9,18,30,23
ABLIM3,664,407,502,571,1761,1250,1418,1255,2312,2536,3239,3404,2640,3639,3768,3313
ABO,132,317,253,253,160,379,441,382,111,318,292,273,126,489,419,116
ABR,813,809,669,671,2013,2907,2754,2298,3156,4059,4261,4615,2023,4726,4652,4667
ABRA,0,0,0,0,3,0,0,0,1,3,0,2,3,1,0,1
ABRACL,199,153,160,146,529,472,541,501,1667,1579,1879,1803,904,1602,1734,1553
ABT1,110,103,68,68,291,338,319,241,632,488,489,419,425,528,539,494
ABTB1,142,127,112,79,320,394,367,298,639,726,648,686,709,783,736,538
ABTB2,335,278,286,251,819,1045,1223,1042,1239,1781,1769,1790,872,2052,1947,1721
AC093375.1,1,0,1,1,2,4,1,7,5,9,10,8,11,24,14,10
ACAA1,237,371,333,333,484,870,955,802,1390,1497,1760,1721,824,1549,1624,1648
ACAA2,656,573,446,425,1485,1434,1337,1191,2056,3694,3156,2872,1241,4032,2715,2430
ACACA,313,170,191,194,729,614,835,786,3517,1907,3291,3792,1758,2017,2712,4572
ACACB,23,40,41,39,50,155,167,128,180,361,439,537,91,365,383,364
ACAD10,299,227,229,252,686,628,659,592,617,1522,1804,1870,638,1775,1729,1186
ACAD11,13,14,11,14,42,36,36,36,52,63,76,75,79,77,73,61
ACAD8,166,134,126,110,319,403,403,372,625,897,1062,1009,560,895,936,694
ACAD9,290,234,212,224,574,666,701,588,1331,1055,1124,1152,746,1158,1214,1128
ACADL,4,9,6,6,13,15,22,15,55,104,102,128,26,67,96,86
ACADM,239,248,222,230,385,625,616,542,1255,1875,1812,1577,628,2089,1568,924
ACADS,256,206,206,212,575,653,626,619,501,717,706,813,434,995,860,614
ACADSB,129,153,137,145,255,376,440,414,658,980,1330,1238,377,1128,1087,844
ACADVL,2777,1976,1652,1404,5455,6408,5480,4413,8900,17707,12175,12097,9660,20646,12764,12005
ACAN,0,0,1,0,1,1,1,0,7,1,0,2,10,2,1,0
ACAP1,12,6,6,4,16,15,15,12,23,24,14,23,48,14,26,15
ACAP2,162,155,145,123,353,416,448,348,1405,1311,1695,1722,916,1338,1402,1537
ACAP3,262,358,355,337,427,1016,1019,940,461,997,889,1099,409,1605,1395,1077
ACAT1,490,393,405,463,1094,1026,1158,1020,2157,4477,3544,3325,1452,4367,2644,1456
ACAT2,31,27,46,33,87,164,277,266,1245,1482,2267,1847,650,981,1435,1748
ACBD3,320,291,251,237,602,744,806,688,1286,1672,1930,1698,808,1720,1860,1573
ACBD4,142,123,111,97,320,408,327,280,407,347,394,449,464,376,375,345
ACBD5,240,221,253,222,548,677,786,673,1150,1607,1912,1869,673,1916,1990,1589
ACBD6,313,216,156,169,669,530,527,448,904,801,821,701,737,880,795,623
ACBD7,4,10,10,18,21,28,41,32,179,133,130,95,165,109,121,91
ACCS,35,46,40,56,85,150,129,97,178,344,364,366,288,346,372,272
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ACD,144,120,105,104,325,370,314,253,509,337,395,327,293,402,372,353
ACE,5,26,34,35,12,33,43,44,22,90,93,123,18,87,89,89
ACE2,1,29,48,53,10,38,88,101,9,55,142,217,2,25,47,30
ACER1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
ACER2,12,20,9,12,19,71,35,36,58,116,145,120,39,106,172,136
ACER3,168,92,117,90,210,258,292,214,912,1046,999,750,407,740,765,658
ACHE,1,2,5,6,17,22,43,39,7,13,35,62,23,40,60,57
ACIN1,854,820,789,802,1933,2581,2654,2431,4223,4212,5142,5599,3217,4688,5074,5761
ACKR1,3,3,15,18,1,3,8,15,0,0,4,13,7,0,5,5
ACKR2,2,2,2,2,18,4,4,5,15,15,16,13,24,22,24,36
ACKR3,36,2,6,0,33,3,5,1,105,17,16,7,225,53,46,4
ACKR4,6,7,4,9,10,13,15,10,35,29,21,24,25,17,11,12
ACLY,2644,1373,1428,1433,3951,3604,4387,3919,10190,10233,12878,12245,4540,9593,11245,11443
ACMSD,26,99,107,84,52,232,219,186,68,457,468,625,94,676,648,356
ACN9,59,61,50,49,119,131,114,132,349,233,240,262,189,238,262,227
ACO1,966,518,505,535,1744,1130,1439,1360,2111,2240,2622,2625,1173,2055,2246,1868
ACO2,641,654,634,611,1397,1799,2042,1852,1648,3027,3227,3509,852,3232,3011,2405
ACOT1,4,6,5,13,21,19,38,50,9,28,42,31,13,43,33,29
ACOT11,6,8,8,3,28,32,38,31,54,60,61,78,16,56,48,105
ACOT12,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0
ACOT13,162,140,138,113,406,429,431,363,601,476,624,618,523,516,656,472
ACOT2,97,84,88,88,229,267,271,220,208,339,295,296,90,275,246,155
ACOT4,8,6,3,11,15,40,24,23,30,27,42,26,11,25,31,36
ACOT6,1,0,0,0,1,0,2,0,1,1,3,0,4,0,2,2
ACOT7,313,243,163,137,660,671,555,480,2026,999,890,827,1036,1039,1038,1129
ACOT8,112,120,95,81,250,382,336,289,334,325,286,330,261,328,311,355
ACOT9,177,74,82,54,461,312,312,277,1308,1087,1029,871,1038,1067,953,1019
ACOX1,185,237,205,203,407,612,752,635,1061,1503,2136,2067,671,1678,1946,2378
ACOX2,29,51,43,47,63,136,139,87,150,199,192,179,104,243,225,80
ACOX3,111,68,82,59,243,195,201,192,398,364,376,360,257,444,398,382
ACOXL,1,3,2,1,3,11,9,4,3,10,11,14,5,15,12,20
ACP1,504,358,384,319,1063,1084,1099,977,2087,1982,2161,1947,1477,2199,2153,1889
ACP2,164,266,221,206,444,819,849,758,726,863,1000,1067,396,1064,1167,1025
ACP5,181,245,348,449,595,890,1317,1355,238,853,793,936,253,936,670,247
ACP6,212,448,289,241,371,758,591,502,692,2098,1197,1214,866,3094,1714,825
ACPP,0,41,26,36,4,214,263,161,8,222,435,404,5,118,155,237
ACPT,0,1,0,1,1,0,0,1,12,0,1,0,12,5,4,3
ACR,0,2,0,0,4,0,0,0,1,1,1,1,5,1,0,0
ACRBP,18,6,7,10,41,33,20,10,22,44,38,21,20,29,27,15
ACRC,5,11,11,5,11,29,19,24,35,56,86,70,63,58,77,59
ACRV1,0,0,0,2,0,0,0,0,3,4,2,2,7,3,2,7
ACSBG1,2,1,0,0,1,0,0,1,3,5,3,6,5,12,8,3
ACSBG2,0,1,1,0,1,2,1,0,4,5,13,10,7,4,3,6
ACSF2,212,109,105,89,506,294,309,282,454,427,491,563,442,415,426,385
ACSF3,151,115,89,96,345,338,381,316,447,527,557,562,342,542,521,484
ACSL1,1580,499,757,745,4107,1965,2934,2882,5746,6471,7982,8584,3879,6866,5206,4996
ACSL3,239,242,238,242,730,979,1259,1107,3157,3110,4139,3775,1539,3711,3264,3223
ACSL4,1897,679,797,892,3390,2838,3406,3151,6687,8288,10221,11344,3853,6523,7645,7298
ACSL5,53,34,29,35,166,124,119,75,241,205,214,178,191,191,205,291
ACSL6,2,5,6,1,6,9,6,11,22,19,26,37,32,18,24,30
ACSM1,3,15,12,23,6,25,22,21,5,33,47,62,18,101,86,27
ACSM2A,8,12,70,99,8,47,107,165,1,22,38,115,18,109,121,12
ACSM2B,3,23,38,66,10,43,72,103,0,6,21,56,6,60,51,6
ACSM3,130,117,165,146,313,289,346,374,95,591,622,709,166,1047,796,541
ACSM4,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,2
ACSM5,19,48,52,57,50,177,203,234,20,157,232,317,39,183,194,76
ACSS1,50,103,117,143,118,314,388,357,161,425,696,907,123,455,659,518
ACSS2,325,230,280,279,780,682,977,957,1085,2231,2999,2990,1255,1363,1566,2019
ACSS3,155,228,169,139,379,433,468,426,372,705,784,743,376,914,847,539
ACTA1,0,0,0,1,2,0,2,1,1,2,4,4,7,1,4,3
ACTA2,213,210,143,115,536,826,589,448,334,605,580,501,444,652,538,543
ACTB,23576,13526,10654,11017,55506,44955,48192,41221,141949,84291,93010,79206,85586,86125,82400,90524
ACTBL2,5,1,1,0,7,9,5,13,33,8,8,2,21,11,14,9
ACTC1,1,0,0,0,2,0,1,0,1,0,0,0,1,0,1,2
ACTG1,22573,9354,7980,8799,56936,33260,36404,33062,87108,63832,74141,70191,49178,67353,71902,88999
ACTG1P4,3,1,3,5,1,7,3,4,11,29,30,29,40,24,38,20
ACTG2,0,0,0,3,0,3,5,2,3,5,6,5,0,0,12,7
ACTL10,5,15,14,18,16,28,35,28,13,21,27,27,4,27,23,26
ACTL6A,202,229,168,157,476,594,625,528,2153,1394,1592,1395,933,1359,1529,1565
ACTL6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACTL7A,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
ACTL7B,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
ACTL8,0,0,1,0,0,0,0,0,19,0,0,2,0,0,0,0
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,2958,1458,1232,1181,7625,5617,5527,4693,15365,9057,9100,8168,7190,9212,8976,10990
ACTN1-AS1,0,0,0,0,4,0,1,0,1,2,1,0,4,1,1,0
ACTN2,18,5,8,5,38,13,18,15,79,39,60,42,243,59,59,12
ACTN3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
ACTN4,6746,4918,4558,4712,19176,18633,20671,18034,32649,31278,32448,30642,13428,34239,33807,32817
ACTR10,293,278,276,259,669,858,851,785,1464,1541,1866,1865,967,1590,1753,1673
ACTR1A,785,763,643,642,1676,2375,2466,1970,3647,3589,4357,3996,1607,3952,3993,4181
ACTR1B,439,350,326,314,1004,938,928,829,1603,1574,1831,1765,845,1678,1836,1622
ACTR2,1125,1014,941,893,2292,3114,3532,2969,10774,9153,11326,10355,4622,9770,10749,11396
ACTR3,1432,1127,1116,1053,3187,3944,4102,3584,10207,8380,10035,9907,4553,8647,9538,11025
ACTR3B,28,30,26,16,71,93,89,104,114,115,189,190,72,111,181,137
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,19,15,11,15,28,23,38,31,128,77,72,84,60,70,79,91
ACTR5,39,29,34,36,95,91,135,77,271,228,281,239,297,236,225,246
ACTR6,105,59,69,70,185,168,165,141,531,448,597,534,402,418,525,462
ACTR8,151,177,147,143,259,433,484,368,570,931,1308,1082,292,979,1167,1127
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT3,21,13,14,23,35,51,60,52,61,96,113,80,27,87,120,85
ACVR1,206,139,173,221,570,548,609,597,921,1273,1285,1195,596,1331,1152,962
ACVR1B,508,498,472,430,1259,2030,2031,1546,2633,4214,4590,4196,2027,4370,4285,3053
ACVR1C,4,2,0,1,1,6,4,8,11,19,34,35,26,16,39,54
ACVR2A,40,56,39,54,76,127,122,115,192,353,445,400,220,327,369,310
ACVR2B,43,47,37,42,90,109,125,80,247,338,493,446,367,428,522,378
ACVR2B-AS1,7,3,12,4,14,17,25,16,21,61,60,51,24,69,55,26
ACVRL1,2,11,8,10,26,154,41,25,59,270,169,104,40,123,74,62
ACY1,19,20,24,16,37,43,39,43,20,20,7,15,14,32,31,13
ACY3,0,8,21,11,2,13,16,18,1,29,19,36,1,14,19,13
ACYP1,29,13,15,9,61,56,31,39,205,114,149,151,162,82,106,100
ACYP2,24,36,25,25,30,110,96,85,45,79,120,114,61,106,115,138
ADA,50,21,19,17,111,78,58,45,205,88,72,81,150,97,78,79
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADAD2,0,0,0,0,0,1,0,0,0,0,0,0,2,5,1,0
ADAL,22,30,46,23,74,78,87,78,235,213,281,294,165,173,216,155
ADAM10,1184,945,856,742,2531,2855,2802,2485,5736,6831,8198,7792,3771,8395,9140,7234
ADAM11,11,4,6,5,27,13,27,17,15,25,13,19,23,16,11,12
ADAM12,246,109,113,90,288,242,232,184,832,495,451,319,369,415,486,322
ADAM15,1017,561,475,398,1965,1746,1707,1369,3151,2427,2329,2158,1746,2914,2721,2914
ADAM17,211,132,130,138,499,425,501,420,1195,1299,1421,1320,695,1509,1585,1456
ADAM18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2
ADAM19,37,12,12,11,89,83,71,36,251,88,80,72,214,101,99,259
ADAM1A,11,5,14,9,19,37,40,30,103,175,232,194,113,167,193,156
ADAM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20,0,0,0,0,0,1,2,0,2,0,2,4,1,0,1,5
ADAM20P1,0,0,0,2,4,2,2,1,10,14,7,16,22,9,11,13
ADAM21,2,0,0,1,3,1,3,6,14,6,12,7,8,3,5,12
ADAM21P1,0,0,0,0,2,2,0,0,1,2,0,0,3,0,0,1
ADAM22,7,16,20,12,12,40,40,35,45,58,98,100,38,76,105,70
ADAM23,0,0,0,0,1,2,1,0,7,2,4,1,0,3,1,1
ADAM28,8,41,49,56,16,72,118,103,25,170,191,218,120,232,233,120
ADAM29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADAM32,1,1,1,3,3,6,7,4,9,19,17,22,22,16,23,14
ADAM33,0,1,0,2,0,1,2,0,4,10,2,5,0,6,11,1
ADAM3A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM7,0,2,0,0,0,0,0,1,0,1,5,3,1,2,6,3
ADAM8,28,10,14,12,54,39,32,50,110,81,64,61,194,101,68,137
ADAM9,2574,1077,1154,1213,5159,3576,4093,3976,11889,8937,11530,11333,5036,9028,10736,11758
ADAMDEC1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
ADAMTS1,2449,1199,1506,1510,5429,4047,6067,5369,7867,8982,17747,10562,7546,9894,19702,14183
ADAMTS10,20,5,4,6,47,27,36,20,20,18,9,13,80,27,23,18
ADAMTS12,50,45,24,11,69,123,80,48,132,221,107,82,115,358,159,169
ADAMTS13,46,57,43,24,64,76,87,61,99,128,145,156,245,162,156,163
ADAMTS14,12,17,17,13,94,129,201,204,21,245,287,495,118,326,357,631
ADAMTS15,6,27,28,24,13,70,85,79,46,128,108,61,53,181,169,29
ADAMTS16,0,11,15,20,4,33,38,37,29,45,64,75,13,64,88,26
ADAMTS17,0,5,4,2,14,28,20,12,27,69,62,48,69,120,112,99
ADAMTS18,1,0,0,0,8,2,0,1,50,9,16,3,49,9,12,10
ADAMTS19,0,1,1,0,1,1,4,5,1,8,10,12,3,8,8,11
ADAMTS2,94,34,30,27,143,103,95,89,117,51,37,27,134,93,50,13
ADAMTS20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ADAMTS3,69,49,60,45,100,151,171,117,872,475,458,370,365,414,495,458
ADAMTS4,1,2,0,4,13,4,3,8,23,20,16,15,17,21,14,13
ADAMTS5,36,50,38,27,105,144,183,143,683,1053,1067,766,364,999,892,506
ADAMTS6,1,3,1,3,4,5,7,4,49,14,6,20,34,16,15,21
ADAMTS7,47,89,56,64,76,185,232,188,98,227,169,196,132,449,354,218
ADAMTS7P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADAMTS8,1,1,0,0,0,1,1,3,0,0,2,1,0,1,1,0
ADAMTS9,471,463,503,481,874,1815,1991,1673,2339,4846,6566,8015,2149,5363,6679,8786
ADAMTS9-AS2,36,11,13,10,88,45,47,43,69,95,98,105,163,123,90,80
ADAMTSL1,49,5,3,2,36,9,13,0,396,53,28,17,139,32,19,109
ADAMTSL2,1,2,2,0,4,2,5,2,5,17,20,12,20,10,19,10
ADAMTSL3,98,52,44,38,142,149,143,118,391,308,380,362,73,295,363,619
ADAMTSL4,164,39,30,28,347,59,88,87,447,221,225,213,379,155,167,231
ADAMTSL4-AS1,0,0,3,0,0,2,5,2,10,6,3,5,13,6,6,8
ADAMTSL5,22,12,19,16,67,88,74,71,53,65,63,103,87,67,72,125
ADAP1,62,63,63,64,47,185,182,177,61,223,342,427,55,288,387,644
ADAP2,73,43,27,39,128,95,105,75,264,135,186,125,178,182,179,99
ADAR,1127,1197,1106,1078,2721,3967,4063,3480,5809,7936,9516,8888,2871,8432,9513,9428
ADARB1,40,57,43,52,107,152,179,143,208,239,279,347,190,199,281,281
ADARB2,9,6,6,1,2,2,3,0,2,3,3,6,2,1,3,10
ADARB2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAT1,81,83,68,79,195,298,282,241,525,670,765,703,234,786,793,723
ADAT2,75,23,33,34,156,65,104,56,510,369,477,426,789,307,319,340
ADAT3,33,29,35,31,71,113,130,125,23,20,8,17,25,69,49,28
ADC,22,21,31,25,56,60,57,58,58,56,87,120,65,58,95,70
ADCK1,45,34,37,54,145,133,169,139,154,260,270,315,89,169,188,186
ADCK2,95,99,81,57,214,292,251,206,309,317,354,314,234,420,513,468
ADCK3,165,116,147,127,486,339,359,273,384,418,472,452,420,566,536,287
ADCK4,172,186,182,149,359,494,475,437,517,584,659,791,367,638,775,702
ADCK5,39,52,41,46,95,138,137,116,206,191,162,245,177,287,244,268
ADCY1,1,1,2,0,12,9,18,19,121,61,106,346,26,22,36,299
ADCY10,0,0,2,2,2,10,5,3,4,18,21,13,11,13,15,10
ADCY10P1,12,16,11,22,60,76,63,63,105,298,245,226,114,110,98,147
ADCY2,0,5,3,2,2,0,2,2,3,4,7,6,0,3,2,2
ADCY3,163,74,59,40,389,237,215,139,783,543,422,338,292,404,348,342
ADCY4,3,0,1,1,5,10,2,0,42,14,13,6,51,10,6,12
