,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
STRN4,664,572,576,561,1413,2005,2046,1802,1744,1985,2120,2150,1056,2639,2643,2462
STS,121,100,124,150,150,264,288,284,266,427,570,576,86,537,643,652
STT3A,1141,942,853,764,2366,2865,2966,2527,4695,4108,5432,5189,2344,4371,5087,5142
STT3B,531,456,445,498,1112,1507,1527,1327,2799,2937,3395,3017,1153,3511,3368,2857
STUB1,260,214,184,184,513,654,618,567,488,347,350,389,262,576,491,457
STX10,231,220,175,174,475,653,613,513,1086,850,829,871,805,947,902,852
STX11,2,3,1,1,7,8,15,2,11,20,8,12,19,9,20,8
STX12,235,250,194,215,503,750,743,654,965,1536,1901,1846,680,1726,1922,1630
STX16,470,399,304,276,979,969,922,707,2674,2958,2837,2672,3748,2648,2338,2122
STX16-NPEPL1,0,0,1,0,0,1,0,0,3,12,7,5,20,13,4,11
STX17,146,161,144,117,342,485,438,331,960,1142,1366,1277,816,1302,1395,1143
STX18,217,290,234,266,557,792,837,755,895,1160,1340,1205,709,1239,1270,930
STX18-AS1,6,3,7,4,9,15,9,9,28,16,33,48,25,14,25,27
STX19,0,0,0,0,3,0,1,1,4,4,4,5,2,0,3,4
STX1A,128,153,112,105,317,622,494,372,1129,332,320,324,993,350,335,453
STX1B,58,24,14,17,88,41,39,37,149,175,132,98,216,153,93,53
STX2,225,129,152,135,435,398,407,348,1059,870,948,951,608,928,993,837
STX3,702,552,583,564,1579,1775,2029,1786,3328,4236,5941,5666,3452,4554,5504,4592
STX4,249,200,205,173,464,568,576,488,994,990,1063,1143,926,1067,1075,1107
STX5,365,284,268,229,792,871,821,717,863,945,997,977,818,1156,1047,858
STX6,231,184,133,160,387,525,521,443,1014,1027,1202,1127,691,1195,1230,1094
STX7,403,316,403,445,739,919,1196,1067,1693,1902,2933,3036,1027,1913,2315,2243
STX8,171,122,100,98,390,313,292,261,553,457,480,450,480,390,395,419
STXBP1,294,227,208,232,604,656,671,637,816,858,1186,1237,482,723,909,944
STXBP2,578,575,501,458,1150,1538,1555,1395,1988,2272,2235,2281,1508,2921,2613,2434
STXBP3,197,213,188,179,403,601,611,536,949,1533,1816,1638,700,1633,1704,1459
STXBP4,61,76,63,81,140,239,261,211,326,308,489,719,182,404,536,620
STXBP5,104,84,76,66,160,219,242,199,660,550,837,738,673,609,793,745
STXBP5-AS1,10,10,8,6,12,13,16,8,41,9,28,27,57,16,17,15
STXBP5L,0,0,0,0,0,1,1,1,3,2,1,2,1,4,1,2
STXBP6,2,1,2,5,4,4,10,4,6,6,9,6,3,5,4,0
STYK1,3,9,3,7,7,24,18,15,65,69,82,84,50,85,112,115
STYX,109,101,70,61,150,185,172,188,641,573,666,539,374,590,564,698
STYXL1,200,124,128,101,339,363,276,303,765,470,535,587,654,534,544,525
SUB1,540,451,416,385,1282,1355,1399,1224,3756,2943,3360,2913,2388,3014,3096,2718
SUCLA2,169,145,160,125,338,431,510,376,1004,1199,1476,1310,490,1412,1402,1212
SUCLG1,567,416,399,400,1205,1209,1195,1076,1903,1938,2110,1953,1295,1987,1866,1328
SUCLG2,781,468,518,453,1988,1265,1510,1526,2750,3058,3673,3444,1721,3755,3495,2687
SUCLG2-AS1,9,11,14,7,21,39,34,41,31,42,48,51,10,56,53,58
SUCNR1,4,1,9,10,3,9,10,12,15,10,14,31,17,11,16,13
SUCO,277,219,208,216,579,682,853,692,2168,1928,2479,2510,1494,2375,2717,3206
SUDS3,284,263,198,218,647,721,696,549,1167,1402,1605,1415,966,1374,1595,1303
SUFU,174,239,183,174,340,631,622,492,563,682,798,830,275,803,889,665
SUGCT,33,29,31,17,89,83,91,75,111,152,138,131,103,207,172,69
SUGP1,162,194,174,176,391,634,581,510,639,565,703,658,472,668,756,671
SUGP2,545,462,461,363,1147,1347,1456,1040,3335,3601,3689,3755,5307,3638,3559,3124
SUGT1,225,202,144,153,532,636,545,494,1456,747,887,963,1056,795,893,1147
SUGT1P1,3,2,1,1,5,8,15,9,15,30,22,31,20,20,20,21
SUGT1P3,1,0,0,1,1,6,5,5,7,3,10,12,19,6,9,22
SULF1,3,4,3,4,10,14,20,26,65,38,31,33,27,32,30,30
SULF2,913,1333,1216,1180,1656,3668,3708,3249,1742,5362,5786,5082,1556,7140,6615,4131
SULT1A1,56,47,31,20,165,196,158,134,194,144,152,151,345,228,256,158
SULT1A2,2,2,2,0,3,9,3,7,24,18,23,14,29,21,17,9
SULT1A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SULT1A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SULT1B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SULT1C2,192,171,227,264,450,318,426,411,697,988,1816,2258,1452,1164,1706,1346
SULT1C2P1,4,5,2,3,5,5,11,8,2,17,37,49,28,20,23,31
SULT1C3,1,1,0,0,0,0,0,0,3,4,7,8,4,2,4,2
SULT1C4,87,149,214,323,404,577,740,800,246,753,955,1016,434,1005,1091,376
SULT1E1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
SULT2A1,1,0,0,0,3,1,1,0,4,4,1,1,3,5,1,2
SULT2B1,2,4,1,2,8,10,3,1,10,10,13,9,17,20,16,80
SULT4A1,1,1,4,1,2,0,4,4,5,2,2,8,15,11,9,15
SULT6B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUMF1,291,355,307,268,460,816,840,761,1084,1408,1602,1537,508,1339,1492,1828
SUMF2,799,922,839,720,1724,2508,2282,1889,3199,3671,4157,3901,1838,4212,4414,3098
SUMO1,554,444,384,354,1284,1408,1270,1104,3185,2136,2706,2329,1635,2333,2485,2298
SUMO1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUMO1P3,1,0,1,0,3,1,1,4,4,0,1,2,3,1,3,4
SUMO2,1480,1099,875,881,3408,3361,2938,2510,5751,5456,6033,4817,3591,5478,5356,4589
SUMO3,489,373,322,279,776,903,812,661,2575,2216,2055,1585,1176,2208,2088,1758
SUMO4,0,0,0,1,0,0,0,0,1,2,0,1,6,3,3,3
SUN1,700,532,451,443,1616,1661,1725,1487,3890,5609,6000,5557,4704,5732,5518,5396
SUN2,329,221,253,259,609,929,947,832,2221,2226,1966,1726,1075,2809,2512,1925
SUN3,0,0,0,1,0,1,3,0,0,2,3,2,0,6,1,1
SUN5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUOX,130,184,159,170,282,456,496,464,454,610,757,863,322,480,567,668
SUPT16H,662,489,435,414,1383,1481,1506,1232,5011,4008,4174,3327,2195,4218,4091,3409
SUPT20H,391,349,261,291,892,1071,999,897,1623,1418,1709,1581,1103,1528,1658,1704
SUPT20HL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPT20HL2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SUPT3H,91,54,41,47,210,113,114,117,340,257,318,284,326,265,281,263
SUPT4H1,314,250,234,203,692,832,797,656,988,967,1155,911,591,1028,969,902
SUPT5H,681,699,664,689,1575,2412,2467,2071,4041,4788,5038,5284,2762,4923,4749,5230
SUPT6H,610,656,579,557,1433,2091,2076,1907,3122,4049,4486,3986,1947,4155,4354,4067
SUPT7L,330,262,212,206,728,710,677,656,1205,1284,1553,1562,1380,1274,1361,1234
SUPV3L1,139,111,96,84,267,313,331,276,627,534,644,522,647,573,614,424
SURF1,140,143,90,113,308,357,334,268,773,709,790,693,465,559,561,652
SURF2,59,66,71,59,116,287,254,206,281,267,286,240,179,344,382,283
SURF4,1619,1283,1154,1074,3219,3918,3756,3438,7497,5398,6181,6201,3230,6332,6422,6289
SURF6,162,191,166,138,330,527,534,474,755,711,807,683,558,956,972,698
SUSD1,134,145,122,126,319,604,585,469,495,777,840,810,344,790,883,947
SUSD2,2,3,3,7,2,16,11,5,10,13,11,14,16,16,10,11
SUSD3,75,20,8,16,110,34,35,28,166,70,39,20,108,59,48,18
SUSD4,6,12,29,18,20,153,180,100,34,194,239,172,28,161,197,99
SUSD5,1,2,1,3,11,7,11,7,34,26,30,32,53,32,36,51
SUV39H1,36,32,30,26,49,117,85,68,464,207,193,133,111,216,194,130
SUV39H2,38,38,35,44,64,102,105,80,359,225,292,227,170,243,296,201
SUV420H1,114,141,136,120,263,426,474,374,711,1356,1738,1307,791,1449,1743,1022
SUV420H2,80,57,72,52,231,152,181,118,118,144,139,149,167,184,203,161
SUZ12,204,184,172,159,441,532,602,472,1498,1645,1853,1742,753,1571,1709,1454
SUZ12P1,17,13,15,11,27,29,36,37,64,65,87,79,83,63,71,44
SV2A,16,27,13,13,49,43,37,27,144,234,351,161,204,423,573,77
SV2B,3,2,8,23,10,12,25,48,25,32,72,61,45,41,34,33
SV2C,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5
SVEP1,3,2,0,0,2,1,0,1,1,18,10,9,1,9,7,6
SVIL,431,450,347,382,1265,1847,2000,1718,4004,3939,4756,5122,2892,4886,5455,8093
SVILP1,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,1
SVIP,70,108,95,80,207,305,277,263,574,649,754,737,318,797,777,660
SVOP,1,0,1,2,2,0,6,1,6,6,3,6,11,9,7,7
SVOPL,0,1,0,0,0,0,3,4,1,5,5,3,0,5,9,7
SWAP70,200,176,169,171,411,548,605,554,1579,1681,1897,1523,682,1656,1821,1490
SWI5,98,85,58,56,209,222,166,166,548,294,272,255,347,332,279,239
SWSAP1,26,33,35,30,68,100,120,81,91,89,104,126,87,144,119,112
SWT1,26,27,37,32,67,84,109,78,169,174,223,251,356,219,239,202
SYAP1,617,542,459,437,856,1044,1028,970,1884,1816,2153,2008,1436,2084,2258,2065
SYBU,41,15,22,15,109,51,62,66,247,261,263,163,152,170,194,171
SYCE1,3,0,2,1,19,7,6,5,2,13,6,9,7,14,7,2
SYCE1L,146,99,66,63,307,297,240,194,48,30,22,31,83,108,96,32
SYCE2,1,2,0,0,1,2,5,0,26,17,20,9,31,15,18,15
SYCE3,3,10,5,5,13,15,7,10,9,31,33,34,31,29,32,7
SYCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYCP1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
SYCP2,8,15,4,5,23,35,33,20,217,171,137,117,398,197,180,98
SYCP2L,11,7,4,4,9,7,5,5,38,62,47,48,107,81,66,52
SYCP3,1,2,3,1,1,3,1,0,14,10,19,14,6,14,11,9
SYDE1,337,222,174,156,617,509,514,434,610,383,365,338,326,447,423,323
SYDE2,18,13,6,13,36,29,24,28,94,144,161,124,70,164,170,139
SYF2,399,297,306,277,963,970,888,769,1585,1585,1595,1315,1341,1769,1574,1253
SYK,100,91,72,58,255,341,326,270,651,795,846,956,243,902,947,1075
SYMPK,530,359,376,359,1168,1171,1192,1053,2336,2118,2127,2392,1532,2562,2467,2197
SYN1,1,3,4,4,9,16,11,11,7,12,15,2,6,13,17,3
SYN2,9,3,3,0,10,4,5,5,29,13,6,4,24,22,11,6
SYN3,0,0,0,0,0,0,0,0,0,2,4,1,1,2,1,2
SYNC,45,23,16,17,65,65,80,71,110,248,258,211,51,261,237,172
SYNCRIP,693,636,630,589,1470,2091,2206,1940,7716,5891,6955,5871,4004,6241,6878,6461
SYNDIG1,1,0,0,0,3,1,0,1,10,8,6,8,2,6,1,2
SYNDIG1L,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0
SYNE1,174,274,308,320,434,774,897,773,1179,2362,3493,2894,1122,3146,4741,2498
SYNE1-AS1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SYNE2,1451,1261,1344,1456,2514,2904,3325,3099,5827,11830,16493,16787,6641,15486,19798,15025
SYNE3,1,0,0,0,3,3,2,7,19,12,10,2,10,12,12,9
SYNE4,5,9,10,11,7,19,36,42,34,59,98,136,81,124,142,140
SYNGAP1,170,106,120,136,353,388,414,373,460,459,545,677,499,478,593,627
SYNGR1,18,14,28,32,54,56,115,123,44,70,106,206,71,91,167,220
SYNGR2,1068,878,784,763,2385,3167,3033,2682,2211,2679,3049,2843,1886,3459,3799,3231
SYNGR3,34,11,13,11,54,34,49,29,47,32,40,52,90,46,40,32
SYNGR4,3,0,1,0,0,0,5,2,1,1,1,0,2,2,1,0
SYNJ1,61,84,82,74,141,245,223,198,258,407,562,611,170,449,550,451
SYNJ2,193,144,131,126,402,464,471,413,1322,875,1095,972,684,985,1253,1067
SYNJ2-IT1,0,0,1,1,0,0,1,0,1,0,1,1,1,2,1,1
SYNJ2BP,111,156,149,171,255,472,543,412,850,1339,1850,1794,638,1317,1559,1528
SYNJ2BP-COX16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNM,12,26,37,22,36,100,99,77,215,216,234,216,157,256,311,176
SYNPO,124,20,23,34,94,42,53,71,175,47,48,45,74,42,38,79
SYNPO2,1,6,4,3,7,13,11,8,25,27,38,34,34,29,29,27
SYNPO2L,1,1,2,1,4,11,2,2,6,13,14,10,14,17,9,11
SYNPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNPR-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNRG,301,306,309,296,589,848,935,813,1098,1753,2352,2584,721,2006,2319,2198
SYP,3,1,4,4,4,8,8,13,7,9,10,10,11,14,20,12
SYP-AS1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
SYPL1,586,472,525,515,1288,1297,1523,1404,4224,3875,4785,4404,1762,3900,4136,3943
SYPL2,11,27,37,45,72,161,205,196,81,276,345,434,162,335,425,284
SYS1,168,195,173,153,429,505,512,471,776,861,1005,918,472,897,953,814
SYS1-DBNDD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT1,1,0,1,1,3,12,6,6,26,14,30,30,7,22,25,35
SYT10,0,0,3,4,1,15,21,18,3,14,25,37,3,11,13,31
SYT11,226,449,331,325,394,1018,965,907,616,1339,1915,2146,285,1911,2536,1668
SYT12,2,3,12,7,9,33,21,18,18,47,54,40,11,43,52,39
SYT13,178,268,260,306,558,909,980,955,681,2327,2315,2512,451,2804,2322,2329
SYT14,30,33,39,37,47,70,94,74,96,224,468,579,91,341,554,864
SYT14L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SYT15,29,27,32,28,60,69,70,60,153,181,313,330,200,203,222,218
SYT16,2,4,4,5,2,29,26,27,35,100,188,185,50,148,310,265
SYT17,1,1,2,2,4,9,8,6,1,4,7,5,2,6,2,9
SYT2,0,0,1,1,1,4,7,4,9,6,10,12,19,9,13,9
SYT3,1,3,2,1,3,3,1,4,4,3,3,6,0,1,0,2
SYT4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SYT5,0,2,1,4,3,15,16,10,2,6,4,7,11,11,22,9
SYT6,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0
SYT7,0,1,0,0,4,1,4,5,7,8,5,11,7,6,3,27
SYT8,0,0,1,1,0,3,1,2,0,1,6,7,1,1,1,5
SYT9,2,0,0,0,1,2,1,0,4,2,4,2,1,3,5,0
SYTL1,34,52,27,26,117,134,114,123,94,167,163,245,174,210,202,347
SYTL2,798,446,520,518,999,1277,1590,1606,2250,4628,6992,7718,2002,4559,6080,8930
SYTL3,74,25,19,18,179,72,77,81,235,300,260,186,175,343,235,166
SYTL4,51,45,39,39,99,116,104,96,455,413,467,437,372,292,332,457
SYTL5,0,1,0,0,3,3,6,2,3,7,24,34,8,5,19,37
SYVN1,316,328,303,352,697,1048,1092,1036,867,1322,1458,1614,730,1574,1597,1474
SZRD1,1213,1168,1027,925,2619,3987,3779,3231,4991,5187,5020,4577,1926,5768,5379,4975
SZT2,238,238,197,205,480,635,760,574,1369,1867,1860,1926,1686,1803,1960,1927
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAAR1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TAAR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAAR3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TAAR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAAR6,0,1,1,0,0,0,0,1,0,2,0,3,2,1,1,2
TAAR8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TAAR9,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,2
TAB1,163,178,158,152,375,547,524,454,535,570,690,757,361,716,786,611
TAB2,553,384,354,323,1007,1206,1280,1130,2316,2278,2368,2363,1318,2533,2302,2251
TAB3,281,260,285,281,642,766,857,811,1456,2649,3127,2969,1134,3041,3011,2330
TAC1,3,0,6,3,5,10,50,39,19,18,71,137,15,71,157,317
TAC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAC4,0,1,0,0,0,1,1,1,5,5,4,2,1,3,6,6
TACC1,228,143,145,144,503,436,520,401,2110,1859,2099,1636,1050,1794,1934,1497
TACC2,133,174,144,137,338,495,512,419,761,1253,1397,1282,421,1579,1713,1258
TACC3,89,81,45,44,156,338,220,175,3462,696,544,325,944,654,593,699
TACO1,185,166,104,116,361,409,423,320,579,479,568,464,389,535,495,416
TACR1,0,0,2,1,0,4,1,1,1,7,9,7,4,5,13,6
TACR2,2,0,0,0,6,3,3,2,4,14,5,8,19,11,8,8
TACR3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TACSTD2,813,625,460,442,2376,3375,3480,2916,2891,5962,6657,6012,2944,8392,8116,10938
TADA1,96,67,60,83,211,256,221,178,393,406,527,393,297,485,476,352
TADA2A,53,41,33,33,107,122,103,88,289,263,273,235,133,261,268,250
TADA2B,245,211,229,198,464,661,702,569,783,1294,1556,1226,547,1527,1614,1158
TADA3,469,541,422,387,1119,1526,1398,1154,2069,1899,2089,2085,1306,2133,2351,1884
TAF1,164,121,124,120,329,419,429,360,858,1171,1566,1394,855,1265,1476,1190
TAF10,862,559,425,398,1891,1970,1557,1320,1148,1033,978,901,1291,1205,1112,924
TAF11,100,95,75,62,244,308,291,202,712,730,728,615,630,739,783,641
TAF12,222,142,106,126,531,461,371,344,518,403,419,444,504,426,399,399
TAF13,39,26,30,24,86,112,93,102,399,501,573,548,230,438,515,461
TAF15,302,376,358,307,756,1086,1135,961,5940,4035,4458,4163,3206,4044,4325,4415
TAF1A,16,14,20,8,31,40,47,24,107,87,111,93,93,77,104,92
TAF1A-AS1,6,3,4,5,18,14,21,16,11,21,21,30,16,28,25,21
TAF1B,53,51,32,37,172,144,163,120,632,534,591,442,309,495,518,470
TAF1C,167,243,191,200,582,702,722,545,1129,1443,1277,1255,1272,1463,1285,1073
TAF1D,247,149,131,101,744,422,422,392,1322,943,935,710,1774,925,859,649
TAF1L,0,1,0,0,0,2,0,0,0,0,1,1,1,2,0,1
TAF2,178,144,127,118,396,384,450,373,959,845,1040,983,641,940,988,956
TAF3,57,58,53,63,119,163,172,128,230,207,208,186,108,251,222,200
TAF4,134,113,112,122,285,388,421,411,440,502,570,506,241,606,568,500
TAF4B,34,21,17,19,94,58,65,55,265,139,166,155,192,138,164,116
TAF5,13,12,12,14,23,37,57,31,127,63,74,60,48,61,80,55
TAF5L,136,108,111,109,324,377,380,288,834,863,905,624,629,979,985,673
TAF6,558,473,392,387,1054,1321,1185,982,1771,1824,1705,1471,1091,1895,1785,1488
TAF6L,104,95,89,82,200,322,315,246,261,350,373,371,207,398,434,332
TAF7,390,309,316,263,811,954,980,879,2041,2102,2460,2264,1216,2499,2616,2065
TAF7L,1,1,0,1,2,0,2,0,3,12,11,10,2,4,2,8
TAF8,76,67,75,61,163,242,254,220,421,539,664,596,351,601,635,503
TAF9,262,187,181,159,659,628,611,449,1096,857,898,744,722,815,743,750
TAF9B,100,134,92,69,225,333,281,223,704,660,760,603,588,816,830,572
TAGAP,5,1,2,1,3,3,3,2,1,3,5,10,8,1,3,8
TAGLN,22,17,12,11,97,85,75,45,262,451,395,295,204,841,750,425
TAGLN2,3547,1843,1526,1346,6259,4708,4405,3360,14983,6618,6670,5194,7723,8813,8588,6921
TAGLN3,11,13,18,5,42,49,56,36,149,30,47,27,77,42,37,94
TAL1,0,0,0,1,0,0,2,0,10,9,7,3,3,4,11,2
TAL2,0,0,1,0,0,1,0,1,3,3,5,6,2,1,3,5
