Symbol,B3B,B4B,B5B,B6B,B8B,B9B
PPP1R37,11.53273821,10.99240201,11.58374185,11.64926397,11.35635756,11.51181983
PPP1R3A,0.538265459,3.170508835,1.090079389,1.387928501,0.538265459,1.78696652
PPP1R3B,10.70420057,10.46310222,10.68182486,10.84587464,10.76343391,10.70096328
PPP1R3C,10.2375299,9.878872223,9.802422879,9.859638043,9.852052536,9.808920302
PPP1R3D,9.233889813,8.836246464,9.072794552,9.195391837,9.142804016,9.09387139
PPP1R3E,11.20390526,11.41527514,11.2504417,11.08118221,10.95299862,11.14650719
PPP1R3F,8.870856812,8.829721206,9.407971909,9.199405315,9.266653425,9.277507413
PPP1R3G,7.343330715,5.961152606,6.860378057,7.216564754,7.119282741,6.783279356
PPP1R7,10.66595463,10.79888012,10.6660573,10.80946199,10.95063881,10.8445408
PPP1R8,10.35001759,10.28726568,10.14866818,10.39054598,10.36899495,10.2500113
PPP1R9A,11.81211145,11.92302042,11.6329739,11.65357571,11.76584125,11.58885608
PPP1R9B,12.49403413,12.15137748,12.48148264,12.48595038,12.21781037,12.6307788
PPP2CA,11.32820467,11.22309763,11.09334572,11.45986448,11.1397327,11.34869172
PPP2CB,11.65148997,11.68644518,11.57902046,11.881834,11.86124819,11.69508382
PPP2R1A,13.60724629,13.38762035,13.60724629,13.4671194,13.55631619,13.4671194
PPP2R1B,11.19568728,11.56680388,11.25174009,11.15817227,11.25530151,11.36730786
PPP2R2A,10.59813949,10.77005154,10.48010368,10.84352224,10.44926198,10.73121106
PPP2R2B,9.348233707,9.406776289,8.970755898,8.817135639,9.247707947,8.832822494
PPP2R2C,5.984141544,5.372307897,5.247727851,6.11399446,5.221966142,2.973400595
PPP2R2D,11.50752033,11.30034296,11.65611924,11.60424291,11.54148497,11.34252815
PPP2R3A,12.37444636,12.38943939,12.13310322,12.62939167,12.40761686,12.61500631
PPP2R3C,8.335881498,8.758404483,8.270850817,8.826567614,8.227533708,8.4050985
PPP2R5A,11.05676771,11.09444717,10.90332308,11.05888438,11.31834409,11.16777751
PPP2R5B,10.76958264,10.58717706,11.09030989,10.92415304,10.7065936,10.94684643
PPP2R5C,11.54489268,11.74985552,11.47426221,11.64497027,11.6162666,11.54221511
PPP2R5D,11.09928247,11.168897,11.21906284,11.05316848,11.04294201,11.14889679
PPP2R5E,10.60390433,10.84935635,10.67873095,10.84097167,10.4264563,10.81139721
PPP3CA,10.52921739,10.70851566,10.57628535,10.48010368,10.39816854,10.59156382
PPP3CB,10.53906623,10.77542264,10.44196827,10.75081998,10.66814034,10.78480635
PPP3CB-AS1,8.335881498,8.746122534,8.575231728,8.279451118,7.952793056,8.559727596
PPP3CC,9.867392371,9.612929491,9.586376547,9.815656173,9.837768819,9.888697634
PPP3R1,10.20534578,10.3756879,10.22980665,10.45799131,9.952493014,10.38185248
PPP4C,11.24590992,10.94449419,11.31004736,11.19860213,11.62055798,11.14391357
PPP4R1,11.23620477,11.21746904,11.12259214,11.2939033,11.39110386,11.17523367
PPP4R1L,9.350195238,9.512247934,9.42992493,8.993740974,9.252237158,8.926388072
PPP4R2,10.71302146,11.04176489,10.79548902,10.97580741,10.90268007,10.96967455
PPP4R3A,11.46732036,11.56955635,11.41503861,11.63469168,11.4832376,11.72070004
PPP4R3B,12.02192414,12.34083985,12.0003963,12.22904152,12.22853843,12.29594534
PPP5C,11.1756731,11.10955788,11.30768195,11.30000849,11.24321168,11.29069944
PPP6C,10.88293077,11.13825174,10.87766941,11.17697016,10.93222839,11.10876013
