Symbol,N2A,N3A,N5B,N6B,N7B,N8B,N10B,N12B,N13B
NECTIN3,10.47040435,10.71406785,10.59067168,10.39784853,10.42450443,10.46826549,10.45465693,10.52155634,10.60933261
NECTIN4,7.56756555,6.975714538,7.62758077,7.698385679,7.70421445,7.053640086,8.392855156,7.983055666,8.103074941
NEDD1,9.575943789,9.665492664,9.628990408,9.598307425,9.500289601,9.496003766,9.290847917,9.444616057,9.666676242
NEDD4,10.94129155,11.09370814,11.12822828,11.06562311,10.94115452,11.07941406,10.83211988,10.91795536,11.06488929
NEDD4L,13.84291583,14.0679425,13.80691667,14.09490405,14.04641334,13.86478452,14.08542474,13.97316855,13.86478452
NEDD8,9.74432947,10.16295675,9.984478145,9.935039787,9.822949874,9.86340546,9.723335983,9.713902119,9.909450418
NEDD8-MDP1,6.686759065,7.290398448,6.934355559,7.05895559,7.343470242,6.92842557,7.515048268,7.066139899,7.065585548
NEDD9,11.84976513,11.83844381,12.94908558,12.48854403,12.43177337,12.04257578,12.43661582,12.0928504,13.0085193
NEFH,7.790475191,7.008581395,9.529665996,8.08200824,7.841526539,7.201613626,7.62255867,7.727277251,7.790288362
NEFL,7.089384258,7.60020961,5.54957087,6.524946049,6.987982729,8.152849153,7.762267635,8.28315523,6.46922262
NEFM,4.975575432,5.576220901,5.6928734,6.139559404,5.287756726,5.284905053,6.453360511,6.108030707,7.148126564
NEGR1,9.827074367,9.22651446,9.848923235,8.73778906,9.13883856,9.111693804,9.45408818,9.707646142,9.823578758
NEIL1,10.75868381,10.73772465,10.71484292,10.69565415,10.66886321,10.83489121,10.64715751,10.8368924,10.33028861
NEIL2,9.912962448,9.904822347,9.845165845,9.94908418,9.804290567,9.883615072,9.918321082,9.823578758,9.68793029
NEK1,10.82610672,10.62201446,10.74001972,10.50226285,10.56636145,10.74230562,10.57364054,10.46487764,10.58042819
NEK10,7.938082304,7.689200689,7.544178867,6.949975665,7.396794166,7.349674617,6.971421885,7.0474519,7.458745779
NEK11,9.683826779,9.691173769,9.467666128,9.547092627,9.596588653,9.595139841,9.486756809,9.450980639,9.342819789
NEK3,9.324269555,9.450844278,9.090536562,9.319981496,9.344643957,9.394866445,9.39766959,9.241758929,8.950967664
NEK4,10.89464266,11.02593272,10.94115452,10.77079055,10.89665497,10.91264972,10.78259332,10.90591999,10.66520754
NEK5,7.53052638,8.152474586,6.346929952,7.258394874,7.301268073,7.687826534,6.756957402,7.65082225,7.002128384
NEK6,11.88112985,12.05639916,12.10970124,11.95411943,11.9952085,12.03905408,12.02239135,12.22451609,12.01418
NEK7,10.96650288,10.76841284,10.89656752,10.8216583,10.84362025,10.76841284,10.8143534,10.95874455,10.87990604
NEK8,9.609990569,9.630249638,9.467666128,9.528503482,9.758233381,9.801278085,9.632953827,9.740845722,8.958602784
NEK9,12.58399098,12.57806667,12.4720638,12.3777821,12.43715617,12.51615393,12.37730012,12.37804354,12.15347491
NELFA,10.22832034,10.18370723,10.13392403,10.47564111,10.24846892,10.36458971,10.39882705,10.39652082,10.13287286
NELFB,11.48714952,11.34039263,11.28379104,11.29353663,11.47799997,11.40529367,11.47042723,11.47262226,11.09212557
NELFCD,11.72126622,11.9161807,11.75288204,11.73437265,11.78186634,11.80429239,11.69206854,11.77819335,11.7232499
NELL1,10.69801827,10.48254737,10.18187722,9.995779046,9.739832592,11.1629083,9.84281899,10.05075344,9.356070342
NELL2,6.686759065,5.179900528,7.353118773,6.304624909,6.594655523,4.91423246,6.132876231,5.837465005,6.865605315
NEMF,11.3508689,11.39826401,11.21318672,11.16213612,11.23206492,11.26428578,10.96592582,11.07086609,11.28701882
NEMP1,9.853138188,9.988889421,9.872551397,9.668078419,9.925498761,9.764028686,9.804358367,9.66136702,10.02258758
NEMP2,8.691211969,8.999809879,8.85562173,8.91193827,8.773115017,8.77473262,8.947694247,8.812218104,8.93018956
NENF,10.83242168,10.90491131,11.05907176,11.10513404,11.02360322,10.98664719,10.75702422,10.87766941,10.87278747
NEO1,12.98763402,13.28463057,13.06038247,13.26426512,13.1612333,12.89528724,12.98052254,12.918395,12.91179327
NEPRO,10.70162336,10.74311152,10.61155478,10.58512482,10.76892647,10.72274042,10.54633024,10.4874914,10.76217442
NES,13.3426866,12.65277152,12.88211082,12.90776476,12.60220309,12.71774342,12.91096095,13.29085499,12.90182895
NET1,12.26934698,12.33536331,12.91260272,12.37830498,12.48051763,12.19073678,11.87184944,12.55442669,12.89606103
NETO2,6.806496268,7.05867966,6.772114456,6.59403936,6.820703261,6.79496561,7.570238883,6.483424686,7.065585548
NEU3,9.734199084,9.719038263,9.802924706,9.595392707,9.929692826,9.642872778,9.942126481,9.932646585,9.591895981
NEU4,7.955684446,6.47098188,6.528673242,6.546994139,7.220254847,9.829409984,6.553187758,7.882708987,6.932285168
NEURL1,8.671082671,8.060098334,8.528872767,8.343926461,8.484469162,7.885479633,8.563502834,7.846602908,8.693562103
NEURL1B,11.13167432,10.72513388,11.79826447,11.37823644,10.71631619,10.88703091,11.10145534,11.22441302,10.82560485
NEURL2,7.495686614,7.650337043,7.368394619,7.09263224,7.493959385,7.452843443,7.349105684,7.619389146,6.494164084
NEURL3,7.865578867,7.56133438,7.587233213,8.314075696,8.083044442,8.428597464,7.36197875,8.170420944,8.648565725
NEURL4,11.98681262,11.95194652,11.88619363,11.78557505,11.91261222,11.9533799,11.96909941,11.93063469,11.66159642
NEXN,8.345990883,7.88521287,8.734285522,7.584682956,7.447760273,7.743922122,7.941417879,7.993132959,8.768552368
NEXN-AS1,6.919257946,6.447155806,6.88857471,6.786665926,5.765355074,6.447155806,6.663742294,6.844261997,7.271414855
NF1,13.54501914,13.68150672,13.505945,13.62264756,13.62264756,13.4642544,13.525477,13.63200576,13.46861592
NF2,12.46329534,12.55170076,12.51985189,12.56678662,12.64851722,12.60404492,12.80241836,12.65212261,12.62393769
